Name,PFF Draft Spot,NFL Draft Buzz,Dynasty Nerds,0,1,2,3,4,5,6,7,8,9
C.J. Johnson,,,,"('Arrelious Benn', 93)","('Stefon Diggs', 92)","('Tyler Boyd', 91)","('Sammy Watkins', 91)","('Rashad Greene', 91)","('T.Y. Hilton', 91)","('Malcolm Kelly', 91)","('Desean Jackson', 91)","('Mario Urrutia', 91)","('Chatarius Atwell', 90)"
Calvin Austin III,,,,"('Andy Isabella', 93)","('Tony Lippett', 93)","('Michael Campanaro', 93)","('Jeremy Gallon', 93)","('Terrance Williams', 93)","('Marvin McNutt', 93)","('Jeremy Ebert', 93)","('Golden Tate', 93)","('Jordan White', 93)","('Eric Decker', 93)"
Christian Leary,,,,"('Andre King', 75)","('Russell Gage', 73)","('James Wright', 68)","('Tyreek Hill', 67)","('Anthony Schwartz', 66)","('Cordarrelle Patterson', 66)","('Jordan Kent', 65)","('Reggie Germany', 65)","('Juwann Winfree', 64)","('Craig Davis', 64)"
Cornelius Johnson,,,,"('Devard Darling', 92)","('Nico Collins', 91)","('Kelvin Harmon', 91)","('Jordan Lasley', 91)","('Devante Parker', 91)","('Cody Latimer', 91)","('Justin Hunter', 91)","('Louis Murphy', 91)","('Troy Williamson', 91)","('Jamaar Taylor', 91)"
Dacari Collins,,,,"('Cordarrelle Patterson', 80)","('Jordan Kent', 80)","('Reggie Germany', 80)","('Marquess Wilson', 78)","('Marcus Maxwell', 78)","('Ethan Kilmer', 78)","('Robert Ferguson', 78)","('Cedric James', 78)","('Russell Gage', 77)","('Dez Bryant', 77)"
Dante Wright,,,,"('Stefon Diggs', 94)","('Tyler Boyd', 93)","('Rashard Higgins', 93)","('Amari Cooper', 93)","('Sammy Watkins', 93)","('Keenan Allen', 93)","('Arrelious Benn', 93)","('Hakeem Nicks', 93)","('Isaiah Ford', 92)","('Corey Davis', 92)"
Deion Colzie,,,,"('Andre King', 78)","('Reggie Germany', 72)","('Jordan Kent', 71)","('Marcus Maxwell', 71)","('Ethan Kilmer', 71)","('Drew Carter', 70)","('Russell Gage', 69)","('Cordarrelle Patterson', 69)","('Cedric James', 69)","('Mark Bradley', 68)"
Deion Smith,,,,"('Tyreek Hill', 66)","('Skyler Green', 64)","('Anthony Schwartz', 62)","('Henry Ruggs III', 61)","('Matt Slater', 61)","('Ben Obomanu', 60)","('Russell Gage', 59)","('Joe Adams', 59)","('Brandon Tate', 59)","('Craig Davis', 59)"
Demetris Robertson,,,,"('Russell Gage', 87)","('Ethan Kilmer', 85)","('Jordan Kent', 82)","('Mark Jones', 82)","('Quentin McCord', 82)","('Kaelin Clay', 80)","('Jason McAddley', 80)","('Cedrick Wilson', 80)","('Damion Ratley', 79)","('Cordarrelle Patterson', 79)"
Demond Demas,,,,"('James Wright', 90)","('D.K. Metcalf', 82)","('Russell Gage', 82)","('Jaylen Waddle', 81)","('Noah Brown', 80)","('Tim Carter', 80)","('Darius Slayton', 79)","('Tyreek Hill', 79)","('Martavis Bryant', 79)","('Cordarrelle Patterson', 79)"
Donavon Greene,,,,"('Jordan Lasley', 90)","('Darren Waller', 90)","('Reggie Germany', 90)","('Dez Bryant', 89)","('Kenny Britt', 89)","('Demaryius Thomas', 89)","('Chris Henry', 89)","('Taco Wallace', 89)","('Josh Reed', 89)","('Cedric James', 89)"
Dontay Demus,,,,"('Bryan Edwards', 93)","('JJ Arcega-Whiteside', 93)","('Amari Cooper', 93)","('Tyler Lockett', 93)","('Keenan Allen', 93)","('Devier Posey', 93)","('Dez Bryant', 93)","('Mike Williams', 93)","('Roy Williams', 93)","('Lee Evans', 93)"
E.J. Williams,,,,"('Skyler Green', 80)","('Henry Ruggs III', 79)","('Ray-Ray McCloud', 78)","('Sloan Thomas', 78)","('Trevor Davis', 77)","('Jaylen Waddle', 76)","('Greg Childs', 76)","('Manuel Johnson', 76)","('Donovan Peoples-Jones', 75)","('Evan Spencer', 75)"
Emeka Egbuka,,,,"('Russell Gage', 70)","('Trevor Davis', 69)","('Craig Davis', 69)","('Henry Ruggs III', 68)","('Ethan Kilmer', 68)","('Reggie Germany', 68)","('Anthony Schwartz', 67)","('Charone Peake', 67)","('James Wright', 67)","('Cordarrelle Patterson', 67)"
Erik Ezukanma,,,,"('Stedman Bailey', 96)","('Robert Meachem', 96)","('Devonta Smith', 95)","('A.J. Brown', 95)","('JJ Arcega-Whiteside', 95)","(""Tre'Quan Smith"", 95)","('Carlos Henderson', 95)","('Corey Coleman', 95)","('Leonte Carroo', 95)","('Sterling Shepard', 95)"
Frank Ladson Jr.,,,,"('Evan Spencer', 86)","('Henry Ruggs III', 83)","('Skyler Green', 83)","('Sloan Thomas', 83)","('Manuel Johnson', 82)","('Greg Childs', 80)","('Donovan Peoples-Jones', 79)","('Ray-Ray McCloud', 79)","('Joe Adams', 79)","('Jaylen Waddle', 78)"
Ja'Corey Brooks,,,,"('Russell Gage', 79)","('James Wright', 73)","('Anthony Schwartz', 72)","('Cordarrelle Patterson', 72)","('Craig Davis', 72)","('Ethan Kilmer', 72)","('Andre King', 72)","('Juwann Winfree', 71)","('Tyreek Hill', 71)","('Trevor Davis', 71)"
Jaden Walley,,,,"('Anthony Schwartz', 83)","('Henry Ruggs III', 82)","('Antonio Callaway', 82)","('Craig Davis', 82)","('Seth Williams', 81)","('Jaylen Waddle', 81)","('Christian Kirk', 81)","('Laquon Treadwell', 81)","('Donte Moncrief', 81)","('Marquess Wilson', 81)"
Jadon Haselwood,,,,"('Henry Ruggs III', 88)","('Laquon Treadwell', 86)","('Kenny Stills', 86)","('Joe Adams', 86)","('Craig Davis', 86)","('Donovan Peoples-Jones', 85)","('Mecole Hardman', 85)","('Ray-Ray McCloud', 85)","('Ace Sanders', 85)","('Dexter McCluster', 85)"
Jaivon Heiligh,,,,"('Taywan Taylor', 95)","('Tyler Johnson', 94)","('Andy Isabella', 94)","('Tyler Lockett', 94)","('Vincent Brown', 94)","('Mike Walker', 94)","('Dyami Brown', 93)","('Jaelon Darden', 93)","('Devonta Smith', 93)","('KeeSean Johnson', 93)"
Jake Smith,,,,"('Anthony Schwartz', 89)","('Henry Ruggs III', 88)","('Antonio Callaway', 88)","('Seth Williams', 87)","('Donte Moncrief', 87)","(""Ja'Marr Chase"", 86)","('Amon-Ra St. Brown', 86)","('Christian Kirk', 86)","('Malachi Dupre', 86)","('Laquon Treadwell', 86)"
Jalen McMillan,,,,"('Jordan Lasley', 88)","('Antonio Callaway', 87)","('Anthony Schwartz', 86)","(""Ja'Marr Chase"", 86)","('Justin Hunter', 86)","('P.K. Sam', 86)","('Elijah Moore', 85)","('Dyami Brown', 85)","('Amon-Ra St. Brown', 85)","('KJ Hamler', 85)"
Jalin Hyatt,,,,"('Antonio Callaway', 88)","('Anthony Schwartz', 86)","('Henry Ruggs III', 86)","('D.K. Metcalf', 86)","('JuJu Smith-Schuster', 86)","('Marquess Wilson', 86)","('Craig Davis', 86)","('Seth Williams', 85)","('Amon-Ra St. Brown', 85)","('Jaylen Waddle', 85)"
Jaxon Smith-Njigba,,,,"('Dyami Brown', 91)","('Elijah Moore', 90)","('Dax Milne', 90)","('Jordan Lasley', 90)","(""Ja'Marr Chase"", 88)","('Devonta Smith', 88)","('Andy Isabella', 88)","('John Ross', 88)","('Mike Williams', 88)","('Corey Coleman', 88)"
Jermaine Burton,,,,"('Martavis Bryant', 93)","('Jaylen Waddle', 92)","('Nico Collins', 90)","('Mecole Hardman', 90)","('Olabisi Johnson', 90)","('Darius Slayton', 90)","('Kelvin Harmon', 90)","('Jordan Lasley', 90)","('Carlton Mitchell', 90)","('Dez Fitzpatrick', 89)"
Jojo Earle,,,,"('Russell Gage', 72)","('Skyler Green', 68)","('Henry Ruggs III', 67)","('Joe Adams', 67)","('James Wright', 66)","('Anthony Schwartz', 65)","('Craig Davis', 65)","('Devin Aromashodu', 65)","('Ben Obomanu', 64)","('Dexter McCluster', 63)"
Jonathan Mingo,,,,"('Henry Ruggs III', 89)","('Joe Adams', 88)","('Dexter McCluster', 88)","('Craig Davis', 88)","('Jaylen Waddle', 87)","('Anthony Schwartz', 86)","('Jerry Jeudy', 86)","('Darius Slayton', 86)","('Laquon Treadwell', 86)","('Cobi Hamilton', 86)"
Jordan Addison,,,,"('Rashod Bateman', 95)","('Brandin Cooks', 95)","('Paul Richardson', 95)","('Kenny Britt', 95)","('Dwayne Jarrett', 95)","('Mike Williams', 95)","(""N'Keal Harry"", 94)","('JuJu Smith-Schuster', 94)","('Tyler Boyd', 94)","('Allen Robinson', 94)"
Jordan Whittington,,,,"('Marquise Brown', 89)","('Jordan Lasley', 89)","('Cordarrelle Patterson', 88)","('D.K. Metcalf', 86)","('Drew Carter', 86)","('Jaylen Waddle', 85)","('Darius Slayton', 85)","('Kelvin Harmon', 85)","('Juwann Winfree', 85)","('Ardarius Stewart', 85)"
Joseph Ngata,,,,"('Henry Ruggs III', 89)","('Travis Benjamin', 88)","('Kris Durham', 88)","('Craig Davis', 88)","('Dyami Brown', 87)","('Cobi Hamilton', 87)","('Joe Adams', 87)","('Juaquin Iglesias', 87)","('Manuel Johnson', 87)","('Elijah Moore', 86)"
Josh Downs,,,,"('Devin Thomas', 95)","('Marquise Brown', 94)","('Dillon Mitchell', 94)","('William Fuller', 94)","('Rishard Matthews', 94)","('Chris Henry', 94)","('Josh Reed', 94)","('Antonio Gandy-Golden', 93)","('Jordan Lasley', 93)","('Cedric Wilson', 93)"
Julian Fleming,,,,"('Jacob Harris', 64)","('Jaylen Waddle', 60)","('James Wright', 59)","('Dezmon Patmon', 58)","('Evan Spencer', 58)","('Marques Hagans', 58)","('Ray-Ray McCloud', 57)","('Tyreek Hill', 57)","('Trindon Holliday', 57)","('Kenny Lawler', 56)"
Kayshon Boutte,,,,"('Anthony Schwartz', 92)","('Justin Hunter', 91)","('Jordan Lasley', 90)","('Laquon Treadwell', 90)","('Amari Cooper', 90)","('Brandin Cooks', 90)","('Marquess Wilson', 90)","('Dez Bryant', 90)","('Dwayne Jarrett', 90)","('Seth Williams', 89)"
Kyle Ford,,,,"('Jaylen Waddle', 74)","('Noah Brown', 74)","('James Wright', 74)","('Martavis Bryant', 74)","('D.K. Metcalf', 73)","('Kolby Listenbee', 73)","('Cordarrelle Patterson', 73)","('Dezmon Patmon', 72)","('Juwann Winfree', 72)","('Kenny Lawler', 72)"
Kyron Ware-Hudson,,,,"('Andre King', 82)","('Jordan Kent', 66)","('Marcus Maxwell', 66)","('Reggie Germany', 66)","('Tyreek Hill', 64)","('Drew Carter', 64)","('Russell Gage', 63)","('Cordarrelle Patterson', 63)","('Ethan Kilmer', 63)","('Juwann Winfree', 62)"
Lavel Davis,,,,"('Santana Moss', 94)","('Justin McCareins', 94)","('Ken-Yon Rambo', 94)","('Taco Wallace', 93)","('Steve Smith', 93)","('David Terrell', 93)","('Freddie Mitchell', 93)","('Reggie Wayne', 93)","('Chris Chambers', 93)","('Quincy Morgan', 93)"
Marcus Rosemy,,,,"('Andre King', 78)","('Tyreek Hill', 75)","('Antonio Callaway', 74)","('James Wright', 74)","('Cordarrelle Patterson', 74)","('Anthony Schwartz', 73)","('D.K. Metcalf', 73)","('Marcus Maxwell', 73)","('Ethan Kilmer', 73)","('Rondale Moore', 72)"
