,Name,cfb_id,pfr_id,School,Conference,DR,DP,NFL POS,Draft Year,Designation in last Year,Landing Team,Age IN DRAFT YEAR (9/1/dy),DOB,Conference Drafted Rate,Conference Hit Rate,Age Adjusted Hit Rate AVG,Pre-Draft,Pre-Draft Percentile,Post-Draft,Post-Draft Percentile,Cr.Year BO,>20%,>30%,Decimal BOA (30%),Cr.Year BO.1,Years Played,G,AVG PPG,rec,YARDS,YPR,REC/g,FINAL MS YARDS RK,College Dominator Rating,Per Game College Dominator Rating,YPTpA Dominator,Yards Dominator,Conference.1,Team (Conference Adjusted),Age,Conference.2,Team,Age.1,First RecYds/TmPatt,Best RecYds/TmPatt,Last RecYds/TmPatt,AVG RecYds/TmPatt,First RecYds/TmPatt Above Conference AVg,Best RecYds/TmPatt Above Conference Avg,Last  RecYds/TmPatt Above Conference Avg,AVG  RecYds/TmPatt Above Conference Avg,First RecYds/TmPatt Above TM Avg,Best RecYds/TmPatt Above TM Avg,Last  RecYds/TmPatt Above TM Avg,AVG  RecYds/TmPatt Above TM Avg,First RecYds/TmPatt Above AGE Avg,Best RecYds/TmPatt Above AGE Avg,Last  RecYds/TmPatt Above AGE Avg,AVG  RecYds/TmPatt Above AGE Avg,First Dominator,Best Dominator,Last Dominator,AVG Dominator (Min 2 Seasons),First Dominator.1,Best Dominator.1,Last Dominator.1,AVG Dominator (Min 2 Seasons).1,First Doa,Last Doa,Best Doa,Doa (AVG),First MS rec Yards,last ms rec yards,Best MS rec Yards,AVG MS REC Yds,First MS rec Yards.1,last ms rec yards.1,Best MS rec Yards.1,AVG MS REC Yds.1,PPG Above conference expectation (Best Year),S/EX (MS Yards Over Expectation using a 5 year conference AVG of top producer),TeamMate Score (TeamMate Over Expected),Production Score,Efficency Score (YTMpA Over conference AVG WR1s),Calvin Johnson Index,Combine Score,18,19,20,21,22,23,18.1,19.1,20.1,21.1,22.1,23.1,18.2,19.2,20.2,21.2,22.2,23.2,18.3,19.3,20.3,21.3,22.3,23.3,18.4,19.4,20.4,21.4,22.4,23.4,18.5,19.5,20.5,21.5,22.5,23.5,18.6,19.6,20.6,21.6,22.6,23.6,18.7,19.7,20.7,21.7,22.7,23.7,18.8,19.8,20.8,21.8,22.8,23.8,18.9,19.9,20.9,21.9,22.9,23.9,18.10,19.10,20.10,21.10,22.10,23.10,18.11,19.11,20.11,21.11,22.11,23.11,18.12,19.12,20.12,21.12,22.12,23.12,18.13,19.13,20.13,21.13,22.13,23.13,18.14,19.14,20.14,21.14,22.14,23.14,18.15,19.15,20.15,21.15,22.15,23.15,18.16,19.16,20.16,21.16,22.16,23.16,18.17,19.17,20.17,21.17,22.17,23.17,18.18,19.18,20.18,21.18,22.18,23.18,18.19,19.19,20.19,21.19,22.19,23.19,18.20,19.20,20.20,21.20,22.20,23.20,18.21,19.21,20.21,21.21,22.21,23.21,18.22,19.22,20.22,21.22,22.22,23.22,18.23,19.23,20.23,21.23,22.23,23.23,BMI,weight,height,bench,40,3Cone,shuttle,vert,broadInches,Burst Score,HaSS,WaSS,# of top 5  finishes,# of top  12 finishes,# of top  24 finishes,Year 1 TGT%,Year 1 EP,Year 1 reFPOE,Year 1 PPG,AVG EP Season 1-3,AVG PPG (PPR) Season 1-3,Year 1 Yards,Year 1 Yards/G
137,Quez Watkins,quez-watkins-1,WatkQu00,Southern Mississippi,CUSA (West),6,200,WR,2020,JR,PHI,22,6/9/1998,1.40%,5.60%,6.30%,5.2,69%,3.6,57%,2,20,20,20.23,2,3,34,14.7,159,2404,15.1,4.7,1.0,35.10%,36.40%,2.9,31.50%,0.41,0.41,-0.3,1.10%,-0.40%,-4.30%,0.91,2.9,2.9,2,-0.7,1.3,1.3,0.4,-0.8,1.2,1.2,0.3,-1,0.3,0.3,-0.3,11.30%,39.50%,33.20%,28.00%,9.60%,39.50%,30.60%,26.60%,-16.70%,-1.30%,8.30%,-3.20%,10.80%,31.30%,31.70%,24.59%,7.40%,28.30%,28.30%,16.37%,4.43,3.20%,0.60%,-1.10%,0.6,-10.70%,227,,11.0,11.0,12.0,,,,6.25,19.64,18.15,,,,23.0,72.0,64.0,,,,337.0,889.0,1178.0,,,,2.0,9.0,6.0,,,,5.25%,18.70%,14.61%,,,,10.80%,31.68%,31.30%,,,,10.80%,31.68%,31.30%,,,,-14.50%,1.60%,0.10%,,,,-12.70%,8.20%,7.80%,,,,-14.20%,6.70%,6.30%,,,,8.33%,47.37%,30.00%,,,,11.30%,39.53%,33.20%,,,,9.60%,39.50%,30.60%,,,,-16.70%,8.30%,-1.30%,,,,8.00%,25.20%,23.00%,,,,0.4,1.2,1.5,,,,0.4,1.2,1.5,,,,-0.4,0.4,0.7,,,,0.9,2.3,2.9,,,,0.9,2.3,2.9,,,-,-1,-0.2,0.3,-,-,,-0.73,0.67,1.27,,,,-0.74,0.66,1.26,,,24.41,185.0,73.0,0.0,4.35,7.28,4.36,36.5,125,124.55,101.73,103.33,0,0,0,5.80%,3.5,2.6,3.93,4.68,4.99,106.0,17.7
138,Greg Dortch,greg-dortch-1,DortGr00,Wake Forest,ACC (Atlantic),UDFA,UDFA,WR,2019,SO,0,21,5/29/1998,6.80%,9.40%,5.00%,7.1,91%,4.6,70%,1,19,20,20.26,1,2,20,21.5,142,1800,12.7,7.1,1.0,33.60%,37.40%,2.7,35.10%,1.09,1.09,0.48,14.00%,14.20%,-0.10%,2.75,2.8,2.6,2.7,1.2,1.2,1.0,1.1,1.2,1.2,1.1,1.2,0.8,0.8,0.1,0.5,38.50%,38.50%,36.40%,37.40%,23.70%,33.60%,33.60%,28.60%,-2.60%,2.30%,2.30%,-0.10%,20.10%,35.10%,35.10%,35.13%,23.80%,5.00%,23.80%,14.39%,6.74,7.40%,3.90%,0.00%,0.5,-,-,,8.0,12.0,,,,,22.51,20.57,,,,,53.0,89.0,,,,,722.0,1078.0,,,,,9.0,8.0,,,,,12.44%,20.14%,,,,,20.06%,35.13%,,,,,20.06%,35.13%,,,,,-5.20%,5.00%,,,,,,14.00%,,,,,,14.20%,,,,,27.27%,32.00%,,,,,38.46%,36.36%,,,,,23.70%,33.60%,,,,,-2.60%,2.30%,,,,,16.30%,27.60%,,,,,1.3,1.1,,,,,1.3,1.1,,,,,0.4,0.3,,,,,2.8,2.6,,,,,2.8,2.6,,,,-,0.8,0.1,-,-,-,,1.15,1.04,,,,,1.31,1.2,,,,27.1,173.0,67.0,0.0,0.0,0.0,0.0,0.0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-,,
139,Lil'Jordan Humphrey,liljordan-humphrey-1,HumpLi01,Texas,Big 12,UDFA,UDFA,WR,2019,JR,0,21,4/19/1998,13.00%,4.10%,3.80%,4.9,64%,3.32,52%,2,20,20,20.37,2,2,28,14.1,123,1607,13.1,4.4,1.0,32.30%,32.30%,2.5,32.50%,0.06,0.06,-0.47,-0.50%,1.10%,-5.00%,1.03,2.5,2.5,1.7,-0.7,0.8,0.8,0.1,-0.7,0.7,0.7,0,-0.9,0.0,0.0,-0.5,0.00%,32.30%,32.30%,21.60%,9.20%,32.30%,32.30%,20.80%,-17.10%,1.10%,1.10%,-8.00%,0.00%,32.50%,32.50%,22.67%,13.50%,14.80%,15.80%,14.69%,2.64,4.50%,0.30%,-2.20%,0.2,-8.40%,228,3.0,11.0,14.0,,,,0.0,8.87,19.36,,,,0.0,37.0,86.0,,,,0.0,431.0,1176.0,,,,0.0,1.0,9.0,,,,0.00%,7.47%,18.07%,,,,0.00%,12.81%,32.53%,,,,,12.81%,32.53%,,,,,-12.50%,2.40%,,,,,-10.30%,9.40%,,,,,-8.80%,10.90%,,,,0.00%,5.56%,32.14%,,,,0.00%,10.85%,32.34%,,,,,9.20%,32.30%,,,,,-17.10%,1.10%,,,,,10.10%,25.30%,,,,0.0,0.6,1.2,,,,,0.6,1.2,,,,,-0.4,0.3,,,,0.0,1.0,2.5,,,,,1.0,2.5,,,,-,-0.9,0,-,-,-,,-0.66,0.78,,,,,-0.66,0.78,,,,25.56,210.0,76.0,13.0,4.75,7.09,4.29,33.5,119,116.45,88.06,82.5,0,0,0,0.60%,0.32,-1.6,0,2.08,3.23,0.0,0.0
140,Sage Surratt,sage-surratt-1,SurrSa00,Wake Forest,ACC (Atlantic),UDFA,UDFA,WR,2021,SO,DET,23,4/13/1998,6.80%,9.40%,1.50%,5.6,75%,3.75,59%,-,21,21,21.39,2,2,19,19,107,1582,14.8,5.6,1.0,31.10%,44.90%,3.1,26.70%,0.81,0.81,-0.15,-0.80%,-1.90%,-7.80%,1.71,3.1,3.1,2.4,0.1,1.5,1.5,0.8,-0.1,1.2,1.2,0.6,-0.8,0.5,0.5,-0.1,22.70%,44.90%,44.90%,33.80%,17.50%,31.10%,31.10%,24.30%,-13.80%,-0.80%,-0.80%,-7.30%,18.90%,26.70%,26.70%,22.82%,5.00%,27.80%,27.80%,16.37%,9.96,-1.70%,6.60%,-2.20%,0.7,-8.10%,240,,,10.0,9.0,,,,,12.31,25.79,,,,,41.0,66.0,,,,,581.0,1001.0,,,,,4.0,11.0,,,,,9.28%,14.10%,,,,,18.93%,26.71%,,,,,18.93%,26.71%,,,,,-11.20%,-4.50%,,,,,-4.60%,3.10%,,,,,-5.80%,2.00%,,,,,16.00%,35.48%,,,,,22.71%,44.92%,,,,,17.50%,31.10%,,,,,-13.80%,-0.80%,,,,,14.10%,20.40%,,,,,0.7,1.4,,,,,0.7,1.4,,,,,-0.2,0.5,,,,,1.7,3.1,,,,,1.7,3.1,,,-,-,-0.8,0.5,-,-,,,0.12,1.5,,,,,0.03,1.41,,,26.12,209.0,75.0,0.0,4.7,0.0,4.25,0.0,-,-,89.04,85.66,-,-,-,-,-,-,-,-,-,,
141,Antonio Gandy-Golden,antonio-gandy-golden-1,GandAn00,Liberty,Ind,4,142,WR,2020,SR,WAS,22,4/11/1998,4.10%,15.40%,9.10%,6.5,86%,6.61,84%,1,20,20,20.39,1,2,24,21.4,150,2433,16.2,6.3,1.0,38.10%,39.90%,3.1,37.20%,1.29,1.29,0.26,15.90%,12.30%,4.40%,2.53,3.1,3.1,2.8,1,1.6,1.6,1.3,0.8,1.4,1.4,1.1,0,0.5,0.5,0.3,44.00%,44.00%,35.80%,39.90%,40.30%,40.30%,35.80%,38.10%,9.10%,3.90%,9.10%,6.50%,33.00%,37.20%,37.20%,35.11%,16.30%,28.00%,28.00%,22.16%,5.66,7.20%,2.10%,1.80%,0.7,-4.80%,274,,,11.0,13.0,,,,,21.34,21.43,,,,,71.0,79.0,,,,,1037.0,1396.0,,,,,10.0,10.0,,,,,15.85%,17.52%,,,,,33.05%,37.17%,,,,,33.05%,37.17%,,,,,2.90%,6.00%,,,,,13.80%,17.90%,,,,,10.20%,14.40%,,,,,47.62%,34.48%,,,,,44.00%,35.82%,,,,,40.30%,35.80%,,,,,9.10%,3.90%,,,,,24.40%,27.30%,,,,,1.3,1.6,,,,,1.3,1.6,,,,,0.5,0.8,,,,,2.5,3.1,,,,,2.5,3.1,,,-,-,0,0.5,-,-,,,1.0,1.57,,,,,0.85,1.42,,,27.14,223.0,76.0,22.0,4.6,7.33,4.55,36.0,127,124.7,106.33,99.61,0,0,0,3.10%,1.83,-9.2,0.58,1.83,0.58,3.0,0.5
142,Quartney Davis,quartney-davis-1,DaviQu02,Texas A&M,SEC (West),UDFA,UDFA,WR,2020,JR,0,22,4/7/1998,17.80%,14.50%,2.00%,2.8,29%,2.07,29%,-,20,-,-,-,2,23,12.6,99,1201,12.1,4.3,2.0,21.00%,23.70%,1.6,20.10%,-0.27,-0.27,-1.02,-3.30%,-3.40%,-11.70%,1.45,1.6,1.6,1.5,-0.3,-0.2,-0.2,-0.3,-0.5,-0.4,-0.4,-0.4,-1.1,-1.0,-1.0,-1,24.80%,24.80%,22.60%,23.70%,22.90%,22.90%,19.20%,21.00%,-8.30%,-12.80%,-8.30%,-10.60%,17.80%,20.10%,20.10%,18.97%,12.30%,4.30%,12.30%,8.32%,-3.2,-7.60%,1.50%,-2.70%,-0.8,-8.30%,249,,,12.0,11.0,,,,,12.23,12.98,,,,,45.0,54.0,,,,,585.0,616.0,,,,,7.0,4.0,,,,,10.27%,11.95%,,,,,17.81%,20.13%,,,,,17.81%,20.13%,,,,,-12.30%,-11.10%,,,,,-4.40%,-2.10%,,,,,-4.60%,-2.30%,,,,,28.00%,18.18%,,,,,24.82%,22.64%,,,,,22.90%,19.20%,,,,,-8.30%,-12.80%,,,,,14.00%,16.00%,,,,,0.7,0.9,,,,,0.7,0.9,,,,,-0.2,0.0,,,,,1.4,1.6,,,,,1.4,1.6,,,-,-,-1.1,-1,-,-,,,-0.35,-0.19,,,,,-0.4,-0.24,,,26.52,201.0,73.0,0.0,4.54,0.0,0.0,35.5,0,60.35,93.17,94.62,-,-,-,-,-,-,-,-,-,,
143,Quintez Cephus,quintez-cephus-1,CephQu00,Wisconsin,Big Ten (West),5,166,WR,2020,0,DET,22,4/1/1998,1.40%,0.00%,5.40%,6.1,82%,5.12,74%,0,19,21,21.42,2,3,30,9.4,93,1496,16.1,3.1,1.0,35.50%,35.50%,2.6,32.20%,0.71,0.71,0.11,2.00%,4.60%,-2.90%,2.16,2.6,2.6,2.4,0.5,0.9,0.9,0.7,0.3,0.7,0.7,0.5,0.2,0.2,0.0,0.1,4.40%,35.50%,35.50%,23.20%,1.90%,35.50%,35.50%,19.60%,-4.90%,3.60%,3.60%,-0.70%,3.70%,32.20%,32.20%,25.39%,-19.30%,-11.30%,-11.30%,-14.92%,-1.64,1.30%,-4.70%,-0.30%,0.2,-9.10%,242,6.0,10.0,,14.0,,,2.92,11.66,,13.65,,,4.0,30.0,,59.0,,,94.0,501.0,,901.0,,,0.0,6.0,,7.0,,,1.24%,9.26%,,16.86%,,,3.75%,18.63%,,32.16%,,,,18.63%,,32.16%,,,,-6.70%,,1.00%,,,,-4.80%,,8.70%,,,,-2.20%,,11.30%,,,0.00%,24.00%,,38.89%,,,4.37%,29.84%,,35.52%,,,1.90%,21.30%,,35.50%,,,,-4.90%,,3.60%,,,2.50%,13.90%,,24.50%,,,0.3,0.8,,1.0,,,,0.8,,1.0,,,,-0.2,,0.0,,,0.7,2.2,,2.6,,,,2.2,,2.6,,,-,0.2,-,0,-,-,,0.5,,0.91,,,,0.4,,0.81,,,26.65,202.0,73.0,23.0,4.73,7.2,4.33,38.5,124,127.45,79.47,80.71,0,0,0,7.50%,4.53,8,5.15,6.21,7.51,349.0,26.8
144,Marquez Callaway,marquez-callaway-1,CallMa00,Tennessee,SEC (East),UDFA,UDFA,WR,2020,SR,0,22,3/27/1998,8.90%,6.70%,5.70%,3.8,44%,2.67,41%,1,19,19,19.43,1,3,35,9.8,91,1633,17.9,2.6,2.0,29.60%,32.90%,2.0,23.60%,0.2,0.2,-0.52,1.80%,1.00%,-6.70%,1.53,2.2,1.8,1.8,-0.1,0.6,0.1,0.2,-0.1,0.6,0.1,0.2,-0.4,-0.3,-0.8,-0.5,0.00%,39.00%,26.80%,28.90%,32.50%,32.50%,26.80%,26.20%,6.20%,-5.10%,6.20%,-3.60%,0.00%,22.10%,25.10%,22.22%,7.40%,-1.90%,7.40%,-7.37%,-3.47,-0.20%,2.40%,-1.40%,0.2,-7.40%,257,1.0,10.0,11.0,13.0,,,0.0,9.5,9.84,9.96,,,0.0,24.0,37.0,30.0,,,0.0,406.0,592.0,635.0,,,0.0,5.0,2.0,6.0,,,0.00%,7.55%,12.46%,8.33%,,,0.00%,19.48%,25.12%,22.06%,,,,19.48%,25.12%,22.06%,,,,-5.80%,-5.00%,-9.10%,,,,-1.00%,4.70%,1.60%,,,,-1.70%,3.90%,0.90%,,,0.00%,45.45%,13.33%,31.58%,,,0.00%,38.96%,20.97%,26.82%,,,,32.50%,19.20%,26.80%,,,,6.20%,-12.00%,-5.10%,,,,13.50%,18.80%,15.20%,,,0.0,0.7,0.9,0.8,,,,0.7,0.9,0.8,,,,-0.1,0.1,0.0,,,0.0,1.5,2.2,1.8,,,,1.5,2.2,1.8,,,-,-0.4,-0.3,-0.8,-,-,,-0.09,0.55,0.14,,,,-0.07,0.57,0.16,,,27.05,205.0,73.0,0.0,4.55,0.0,0.0,38.0,126,127.6,94.19,95.66,-,-,-,-,-,-,-,-,-,,
145,Marquez Stevenson,marquez-stevenson-1,StevMa00,Houston,American (West),6,203,WR,2021,SR,Hou,23,3/26/1998,1.40%,7.10%,5.00%,5.5,73%,3.89,61%,2,20,21,21.44,2,2,32,17.4,147,2233,15.2,4.6,3.0,31.50%,37.70%,2.9,25.90%,0.53,0.53,-0.02,7.00%,9.50%,1.20%,2.15,2.9,2.9,2.5,0.2,0.9,0.9,0.5,0.2,1.0,1.0,0.6,-0.4,0.3,0.3,0,0.00%,42.30%,33.10%,32.90%,23.30%,42.30%,20.70%,28.70%,-8.00%,10.30%,10.30%,1.20%,0.00%,14.70%,37.20%,31.85%,33.50%,15.60%,33.50%,17.65%,4.74,5.50%,-4.00%,0.00%,0.4,-,-,2.0,,13.0,12.0,5.0,,0.0,,19.77,17.13,15.26,,0.0,,75.0,52.0,20.0,,0.0,,1019.0,907.0,307.0,,0.0,,9.0,9.0,4.0,,0.00%,,15.86%,16.67%,6.90%,,0.00%,,26.53%,37.17%,14.67%,,,,26.53%,37.17%,,,,,-3.60%,6.00%,,,,,1.70%,12.30%,,,,,4.10%,14.80%,,,0.00%,,20.00%,47.37%,26.67%,,0.00%,,23.26%,42.27%,33.07%,,,,23.30%,42.30%,20.70%,,,,-8.00%,10.30%,,,,,21.20%,26.90%,10.80%,,0.0,,1.4,1.4,0.9,,,,1.4,1.4,,,,,0.3,0.3,,,0.0,,2.2,2.9,1.7,,,,2.2,2.9,,,-,-,-0.4,0.3,-,-,,,0.15,0.91,,,,,0.19,0.94,,,26.11,182.0,70.0,0.0,0.0,0.0,0.0,0.0,-,-,UNK,UNK,0,0,0,0.00%,0,0,0,0,0,,
146,Tamorrion Terry,tamorrion-terry-1,TerrTa00,Florida State,ACC (Atlantic),UDFA,UDFA,WR,2021,JR,SEA,23,3/21/1998,6.80%,9.40%,3.80%,5.4,72%,3.63,57%,1,20,20,20.45,1,3,31,13.6,118,2221,18.8,3.8,2.0,24.50%,27.80%,2.8,25.20%,0.61,0.61,-0.34,5.00%,7.60%,-2.10%,1.66,2.8,2.8,2.2,0.1,1.2,1.2,0.6,-0.2,0.9,0.9,0.4,-0.8,0.2,0.2,-0.3,31.50%,35.80%,19.70%,29.00%,31.50%,35.80%,13.20%,26.80%,0.30%,3.90%,3.90%,2.10%,23.00%,16.30%,34.10%,28.55%,20.10%,-13.00%,20.10%,8.56%,2.14,5.80%,-4.80%,0.50%,0.3,-7.10%,247,,,12.0,13.0,6.0,,,,13.12,17.98,9.65,,,,35.0,60.0,23.0,,,,744.0,1188.0,289.0,,,,8.0,9.0,1.0,,,,7.81%,13.89%,7.96%,,,,22.96%,34.15%,16.32%,,,,22.96%,34.15%,,,,,-7.20%,2.90%,,,,,-0.60%,10.60%,,,,,2.00%,13.20%,,,,,40.00%,37.50%,10.00%,,,,31.48%,35.82%,19.74%,,,,31.50%,35.80%,13.20%,,,,0.30%,3.90%,,,,,15.40%,24.00%,12.10%,,,,0.9,1.3,0.7,,,,0.9,1.3,,,,,0.0,0.4,,,,,1.7,2.8,1.5,,,,1.7,2.8,,,-,-,-0.8,0.2,-,-,,,0.07,1.16,,,,,-0.02,1.07,,,25.87,207.0,75.0,15.0,4.45,7.11,4.47,32.5,126,118.25,109.74,105.57,-,-,-,-,-,-,-,-,-,,
147,Brandon Aiyuk,brandon-aiyuk-1,AiyuBr00,Arizona State,Pac-12 (South),1,25,WR,2020,SR,SFO,22,3/17/1998,6.80%,7.50%,18.80%,5.6,74%,8.54,93%,2,21,21,21.46,2,2,25,13.5,98,1666,17.0,3.9,1.0,37.50%,40.60%,3.4,36.80%,0.66,0.66,-0.26,5.00%,3.00%,-4.40%,1.2,3.4,3.4,2.3,-0.4,1.7,1.7,0.7,-0.5,1.7,1.7,0.6,-1.3,0.8,0.8,-0.3,15.30%,40.60%,40.60%,28.00%,15.30%,37.50%,37.50%,26.40%,-15.90%,5.50%,5.50%,-5.20%,15.70%,36.80%,36.80%,26.26%,3.50%,10.30%,10.30%,6.88%,2.51,10.30%,-0.20%,-1.80%,1.2,-7.20%,260,,,13.0,12.0,,,,,7.57,19.4,,,,,33.0,65.0,,,,,474.0,1192.0,,,,,3.0,8.0,,,,,8.38%,17.02%,,,,,15.67%,36.85%,,,,,15.67%,36.85%,,,,,-14.50%,5.60%,,,,,-5.60%,15.60%,,,,,-7.50%,13.60%,,,,,15.00%,38.10%,,,,,15.33%,40.59%,,,,,15.30%,37.50%,,,,,-15.90%,5.50%,,,,,12.00%,26.90%,,,,,0.5,1.6,,,,,0.5,1.6,,,,,-0.4,0.7,,,,,1.2,3.4,,,,,1.2,3.4,,,-,-,-1.3,0.8,-,-,,,-0.43,1.75,,,,,-0.43,1.74,,,27.05,205.0,73.0,11.0,4.5,0.0,0.0,40.0,128,132,98.45,99.98,0,0,0,23.30%,14.61,-1,15.38,11.7,12.55,748.0,62.3
148,Mecole Hardman,mecole-hardman-1,HardMe00,Georgia,SEC (East),2,56,WR,2019,JR,KAN,21,3/12/1998,8.90%,6.70%,9.10%,3.7,44%,6.39,82%,-,-,-,-,-,2,33,8.4,60,961,16.0,1.8,2.0,18.90%,18.90%,1.5,17.20%,-0.16,-0.16,-0.76,-4.50%,-5.00%,-11.30%,1.38,1.5,1.5,1.5,-0.2,-0.1,-0.1,-0.2,-0.2,-0.1,-0.1,-0.1,-0.5,-0.5,-1.0,-0.8,0.00%,18.90%,18.90%,17.50%,16.20%,18.90%,18.90%,17.50%,-10.00%,-12.40%,-10.00%,-11.20%,0.00%,17.20%,17.20%,16.46%,-12.90%,0.50%,0.50%,-11.08%,-3.89,-8.60%,-2.90%,-3.30%,-0.5,-9.20%,259,4.0,15.0,14.0,,,,0.0,7.26,9.64,,,,0.0,25.0,35.0,,,,0.0,418.0,543.0,,,,0.0,4.0,7.0,,,,0.00%,8.28%,9.83%,,,,0.00%,15.76%,17.16%,,,,,15.76%,17.16%,,,,,-9.50%,-13.00%,,,,,-5.20%,-3.70%,,,,,-5.70%,-4.30%,,,,0.00%,16.67%,20.59%,,,,0.00%,16.21%,18.87%,,,,,16.20%,18.90%,,,,,-10.00%,-12.40%,,,,,12.00%,13.50%,,,,0.0,0.5,0.7,,,,,0.5,0.7,,,,,-0.5,-0.3,,,,0.0,1.4,1.5,,,,,1.4,1.5,,,,-,-0.5,-1,-,-,-,,-0.23,-0.09,,,,,-0.18,-0.03,,,,26.83,187.0,70.0,17.0,4.33,0.0,0.0,36.5,119,121.55,96.3,106.39,0,0,0,7.10%,4.46,48.1,7.72,6.53,7.94,538.0,33.6
149,Trishton Jackson,trishton-jackson-1,JackTr01,Syracuse,ACC (Atlantic),UDFA,UDFA,WR,2020,JR,0,22,3/9/1998,6.80%,9.40%,1.50%,4.5,58%,3.12,49%,0,21,21,21.48,1,2,22,9.6,83,1255,15.1,3.8,1.0,41.60%,41.60%,2.5,35.40%,0.91,0.91,-0.08,12.90%,2.20%,4.20%,2.51,2.5,2.5,2.5,0.9,0.9,0.9,0.9,0.7,0.7,0.7,0.7,-0.1,-0.1,-0.1,-0.1,12.90%,41.60%,41.60%,20.00%,4.30%,41.60%,41.60%,16.20%,9.70%,9.70%,9.70%,3.20%,3.30%,35.40%,35.40%,35.43%,0.10%,6.60%,6.60%,1.00%,3.43,7.80%,17.70%,1.00%,0.1,-8.90%,243,4.0,6.0,,12.0,,,4.98,4.34,,19.55,,,5.0,12.0,,66.0,,,89.0,143.0,,1023.0,,,1.0,0.0,,11.0,,,1.36%,2.86%,,16.18%,,,3.34%,5.11%,,35.43%,,,,,,35.43%,,,,,,4.20%,,,,,,12.90%,,,,,,2.20%,,,5.26%,0.00%,,47.83%,,,12.90%,5.54%,,41.63%,,,4.30%,2.60%,,41.60%,,,,,,9.70%,,,2.30%,4.00%,,25.80%,,,0.3,0.3,,1.1,,,,,,1.1,,,,,,0.2,,,0.7,0.7,,2.5,,,,,,2.5,,,-,-,-,-0.1,-,-,,,,0.91,,,,,,0.92,,,25.99,197.0,73.0,0.0,4.5,0.0,0.0,36.0,117,119.7,94.6,96.08,-,-,-,-,-,-,-,-,-,,
150,Kekoa Crawford,kekoa-crawford-1,0,California,Pac-12 (North),UDFA,UDFA,WR,2021,SR,,23,2/10/1998,5.50%,9.30%,1.10%,4.6,60%,3.18,50%,1,22,22,22.56,1,3,26,7.1,52,747,14.4,2.0,1.0,31.70%,31.70%,1.0,30.10%,-0.97,-0.97,-1.32,-9.70%,-11.50%,-16.80%,0,1.0,1.0,1,-1.5,-0.5,-0.5,-1,-1.7,-0.7,-0.7,-1.2,-1.7,-0.9,-0.9,-1.3,0.00%,31.70%,31.70%,23.50%,11.00%,31.70%,31.70%,17.80%,-15.20%,-15.20%,-15.20%,-5.10%,0.00%,30.10%,30.10%,10.92%,-4.50%,-14.80%,-4.50%,-13.86%,-2.16,4.80%,5.40%,-1.90%,-1,-,-,7.0,9.0,,6.0,4.0,,0.21,5.26,,9.2,13.55,,0.0,17.0,,16.0,19.0,,0.0,243.0,,272.0,232.0,,0.0,1.0,,2.0,2.0,,0.00%,4.91%,,4.38%,13.97%,,0.00%,10.92%,,10.62%,30.09%,,,10.92%,,,,,-19.30%,-14.40%,,,,,,-9.70%,,,,,,-11.50%,,,,,0.00%,11.11%,,10.53%,33.33%,,0.00%,15.91%,,22.91%,31.71%,,,11.00%,,10.60%,31.70%,,,-15.20%,,,,,,7.90%,,7.50%,22.00%,,0.0,0.4,,0.7,0.9,,0.0,0.4,,,,,-0.9,-0.5,,,,,0.0,1.0,,1.6,1.7,,0.0,1.0,,,,,-1.7,-0.9,-,-,-,-,-1.48,-0.47,,,,,-1.57,-0.55,,,,,UNK,,,,,,,,,-,UNK,UNK,-,-,-,-,-,-,-,-,-,,
151,Kekoa Crawford,kekoa-crawford-1,0,California,Pac-12 (North),UDFA,UDFA,WR,2021,SR,,23,2/10/1998,5.40%,6.40%,1.00%,3.7,43%,2.61,40%,1,22,22,UNK,1,4,37,7.3,92,1260,13.7,2.5,1.0,20.50%,21.10%,1.5,24.40%,-0.49,-0.49,-1.49,-5.10%,-7.10%,-15.70%,0,1.5,1.5,1.2,-1.3,0.2,0.2,-0.5,-1.3,0.2,0.2,-0.5,-1.7,-0.9,-1.9,-1.5,0.00%,31.70%,10.50%,20.30%,11.00%,31.40%,9.70%,15.70%,-13.90%,-13.90%,-13.90%,-4.60%,0.00%,19.30%,29.40%,15.12%,-4.50%,1472.70%,1472.70%,504.74%,-1.33,4.70%,0.80%,-1.70%,-0.5,-,-,7.0,9.0,,6.0,4.0,11.0,0.21,5.26,,9.2,13.55,8.45,0.0,17.0,,16.0,19.0,40.0,0.0,243.0,,272.0,232.0,513.0,0.0,1.0,,2.0,2.0,0.0,0.00%,4.91%,,4.38%,21.35%,17.09%,0.00%,10.92%,,10.62%,29.44%,19.32%,,10.92%,,,,19.32%,-18.30%,-13.10%,,,,,,-9.30%,,,,-0.90%,,-11.40%,,,,-2.90%,0.00%,11.11%,,10.53%,33.33%,0.00%,0.00%,15.91%,,22.91%,31.71%,10.52%,,11.00%,,10.60%,31.40%,9.70%,,-13.90%,,,,,,7.90%,,7.50%,25.40%,18.20%,0.0,0.4,,0.7,0.8,0.8,0.0,0.4,,,,0.8,-0.9,-0.5,,,,0.0,0.0,1.0,,1.6,1.7,1.5,0.0,1.0,,,,1.5,-1.7,-0.9,-,-,-,-1.9,-1.33,-0.31,,,,0.15,-1.32,-0.31,,,,0.16,UNK,,,,,,,,,-,UNK,UNK,-,-,-,-,-,-,-,-,-,,
