"Maybe: Aggregate data into smaller set of features, then use similarity?",,,"Rookier Year Valuation Metrics: fantasy points,  ???",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DROP,,,LOOK,,,,,,,,,,,,,,,,,,Breakout Ages,,,,Total Counting Stats,,,,,,,,,,,,YTMpA,,,Dominator,,,YTMpA,,,,YTMpA Above Conference pos AVG (>30 tchs),,,,YTMpA Above Team Avg,,,,YTMpA Above Age AVG (Top 24 players,,,,Per Game Dominator,,,,Dominator,,,,DOa (Dom Over Average),,,,MS Yards,,,,Player Above/Below AVG Team YTMpA,,,,Pahowdy Score,,,,,,,Games Played,,,,,,PPR PPG,,,,,,RECs,,,,,,REC Yards,,,,,,REC TDs,,,,,,MS RECs,,,,,,MS REC Yards,,,,,,MS REC Yards (for AVG if played more then 8 games),,,,,,MS Yards above/below Average by age (top 24 players),,,,,,Player Above/Below AVG Conference REC Yds MS >6 games,,,,,,Player Above/Below AVG Team REC Yds MS,,,,,,MS REC TDs,,,,,,Per Game Dominator (Combined REC Yards Touchdown MS),,,,,,Dominator (Combined REC Yards Touchdown MS),,,,,,DOa above/below Average by age (top 24 players),,,,,,Yards Dominator (Rec's used instead of dominator),,,,,,YTMA  Yards Per Team  Attempt,,,,,,YTMA  Yards Per Team  Attempt For Scores >6 games,,,,,,Player Above/Below AVG Conference YTMA,,,,,,YTMpA (Rec Yards Per Team Pass Attempt),,,,,,YTMpA (Rec Yards Per Team Pass Attempt) >6 games,,,,,,Player YTMpA  above/below Average by age (top 24 players),,,,,,Player Above/Below AVG Conference YTMpA >6 games,,,,,,Player Above/Below AVG Team YTMpA,,,,,,Combine,,,,,,,,,,,,NFL Career Marks since 2000,,,,,,,,
Name,cfb_id,pfr_id,School,Conference,DR,DP,NFL POS,Draft Year,Designation in last Year,Landing Team,Age IN DRAFT YEAR (9/1/dy),DOB,Conference Drafted Rate,Conference Hit Rate,Age Adjusted Hit Rate AVG,Pre-Draft,Pre-Draft Percentile,Post-Draft,Post-Draft Percentile,Cr.Year BO,>20%,>30%,Decimal BOA (30%),Cr.Year BO,Years Played,G,AVG PPG,rec,YARDS,YPR,REC/g,FINAL MS YARDS RK,College Dominator Rating,Per Game College Dominator Rating,YPTpA Dominator,Yards Dominator,Conference,Team (Conference Adjusted),Age,Conference,Team,Age,First RecYds/TmPatt,Best RecYds/TmPatt,Last RecYds/TmPatt,AVG RecYds/TmPatt,First RecYds/TmPatt Above Conference AVg,Best RecYds/TmPatt Above Conference Avg,Last  RecYds/TmPatt Above Conference Avg,AVG  RecYds/TmPatt Above Conference Avg,First RecYds/TmPatt Above TM Avg,Best RecYds/TmPatt Above TM Avg,Last  RecYds/TmPatt Above TM Avg,AVG  RecYds/TmPatt Above TM Avg,First RecYds/TmPatt Above AGE Avg,Best RecYds/TmPatt Above AGE Avg,Last  RecYds/TmPatt Above AGE Avg,AVG  RecYds/TmPatt Above AGE Avg,First Dominator,Best Dominator,Last Dominator,AVG Dominator (Min 2 Seasons),First Dominator,Best Dominator,Last Dominator,AVG Dominator (Min 2 Seasons),First Doa,Last Doa,Best Doa,Doa (AVG),First MS rec Yards,last ms rec yards,Best MS rec Yards,AVG MS REC Yds,First MS rec Yards,last ms rec yards,Best MS rec Yards,AVG MS REC Yds,PPG Above conference expectation (Best Year),S/EX (MS Yards Over Expectation using a 5 year conference AVG of top producer),TeamMate Score (TeamMate Over Expected),Production Score,Efficency Score (YTMpA Over conference AVG WR1s),Calvin Johnson Index,Combine Score,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,BMI,weight,height,bench,40,3Cone,shuttle,vert,broadInches,Burst Score,HaSS,WaSS,# of top 5  finishes,# of top  12 finishes,# of top  24 finishes,Year 1 TGT%,Year 1 EP,Year 1 reFPOE,Year 1 PPG,AVG EP Season 1-3,AVG PPG (PPR) Season 1-3
Shelton Gibson,shelton-gibson-1,GibsSh00,West Virginia,Big 12,5,166,WR,2017,JR,PHI,22,3/20/1995,13.00%,4.10%,5.60%,4.9,65%,4.43,69%,-,20,20,20.45,1,3,32,14.8,80,1838,23,2.5,1,30.20%,31.50%,2.3,28.40%,-0.17,-0.17,-0.82,5.20%,2.40%,-10.30%,0,2.3,2.3,2.3,-1.7,0.6,0.6,-0.2,-1.6,0.7,0.7,-0.1,-1.9,-0.3,-0.3,-0.8,0.00%,33.40%,29.60%,31.50%,30.90%,30.90%,29.60%,30.20%,-0.40%,-2.30%,-0.40%,-1.30%,0.00%,28.40%,28.40%,27.79%,43.50%,15.80%,43.50%,24.36%,-2.18,0.70%,1.80%,-0.30%,0,-9.60%,250,,7,12,13,,,,0,14.98,14.54,,,,0,37,43,,,,0,887,951,,,,0,9,8,,,,0.00%,8.64%,10.51%,,,,0.00%,27.13%,28.45%,,,,,27.13%,28.45%,,,,-25.30%,-3.00%,-2.80%,,,,,4.60%,5.90%,,,,,1.70%,3.00%,,,,0.00%,34.62%,30.77%,,,,0.00%,33.45%,29.61%,,,,,30.90%,29.60%,,,,,-0.40%,-2.30%,,,,,17.90%,19.50%,,,,0,0.9,1,,,,0,0.9,1,,,,-0.7,0.2,0.3,,,,0,2.2,2.3,,,,0,2.2,2.3,,,-,-1.9,-0.3,-0.3,-,-,,-1.69,0.55,0.63,,,,-1.59,0.65,0.73,,,26.64,191,71,8,4.5,6.83,4.2,32,118,113.4,86.75,93.16,0,0,0,4.30%,2.4,-1.7,1.55,1.41,1.04
Ricky Seals-Jones,ricky-seals-jones-1,SealRi00,Texas A&M,SEC (West),UDFA,UDFA,WR,2017,JR,0,22,3/15/1995,17.80%,14.50%,1.00%,2.1,19%,1.69,19%,0,-,-,-,-,3,34,11.3,123,1442,11.7,3.6,3,11.70%,19.10%,1.1,13.40%,-0.72,-0.72,-1.26,-9.80%,-11.90%,-16.00%,1.07,1.2,1,1.1,-0.7,-0.6,-0.8,-0.7,-0.6,-0.5,-0.7,-0.6,-0.9,-0.9,-1.6,-1.3,28.10%,28.10%,10.10%,16.90%,2.20%,16.40%,7.00%,9.10%,-15.30%,-24.90%,-14.80%,-18.30%,1.80%,10.00%,16.90%,12.87%,60.30%,14.90%,60.30%,32.28%,1.48,-11.50%,3.00%,-6.50%,-1.2,-1.40%,325,1,11,13,9,,,17.4,10.86,9.62,7.26,,,3,49,45,26,,,84,465,560,333,,,1,4,4,1,,,0.61%,9.53%,9.36%,5.54%,,,1.83%,11.71%,16.85%,10.04%,,,,11.71%,16.85%,10.04%,,,,-13.60%,-13.30%,-21.20%,,,,-10.90%,-5.80%,-12.60%,,,,-13.00%,-7.90%,-14.70%,,,2.50%,10.26%,16.00%,4.00%,,,28.14%,12.98%,16.43%,10.14%,,,2.20%,11.00%,16.40%,7.00%,,,,-15.30%,-14.80%,-24.90%,,,1.20%,10.60%,13.10%,7.80%,,,1.2,0.6,0.6,0.5,,,,0.6,0.6,0.5,,,,-0.2,-0.2,-0.3,,,2.2,1.1,1.2,1,,,,1.1,1.2,1,,,-,-0.9,-1.3,-1.6,-,-,,-0.74,-0.65,-0.78,,,,-0.76,-0.66,-0.8,,,28.82,243,77,17,4.69,7.46,4.33,28,121,108.1,110.08,100.45,0,0,0,9.30%,5.59,5.4,6.26,5.38,5.19
DaeSean Hamilton,daesean-hamilton-1,HamiDa01,Penn State,Big Ten (East),4,113,WR,2018,SR,DEN,23,3/10/1995,8.20%,11.60%,7.80%,3.3,37%,3.85,61%,-,19,-,-,-,4,51,11.9,214,2842,13.3,4.2,1,25.40%,25.40%,1.9,26.20%,-0.05,-0.05,-0.76,-0.40%,-2.50%,-7.40%,1.81,1.9,1.9,1.7,0.1,0.2,0.2,-0.1,0.2,0.2,0.2,0,-0.1,-0.1,-0.8,-0.8,22.50%,25.40%,25.40%,20.90%,22.50%,25.40%,25.40%,20.50%,-3.80%,-7.00%,-3.80%,-10.00%,29.60%,22.70%,29.60%,21.75%,5.70%,29.80%,29.80%,12.47%,-0.08,0.90%,1.10%,-4.10%,-0.3,-,-,,13,13,12,13,,,14.39,10.69,7.55,14.82,,,82,45,34,53,,,899,580,506,857,,,2,6,1,9,,,16.53%,11.17%,8.72%,11.57%,,,29.63%,20.80%,13.86%,22.72%,,,29.63%,20.80%,13.86%,22.72%,,,4.30%,-9.30%,-17.30%,-7.20%,,,7.40%,-1.40%,-8.30%,0.50%,,,5.40%,-3.40%,-10.40%,-1.50%,,,15.38%,30.00%,3.45%,28.13%,,,22.51%,25.40%,10.10%,25.42%,,,22.50%,25.40%,8.70%,25.40%,,,-3.80%,-5.80%,-23.30%,-7.00%,,,23.10%,16.00%,11.30%,17.10%,,,1.1,0.7,0.6,1,,,1.1,0.7,0.6,1,,,0.1,-0.2,-0.3,0,,,1.8,1.4,1.5,1.9,,,1.8,1.4,1.5,1.9,,-,-0.1,-1.1,-1.1,-0.8,-,,0.1,-0.27,-0.2,0.16,,,0.16,-0.21,-0.14,0.22,,26.78,203,73,0,0,6.84,4.15,34.5,118,117.65,UNK,UNK,0,0,0,8.80%,5.24,-7.1,4.74,4.99,4.25
Pharoh Cooper,pharoh-cooper-1,CoopPh00,South Carolina,SEC (East),4,117,WR,2016,JR,LAR,21,3/7/1995,8.90%,6.70%,10.20%,6.8,89%,6.05,80%,2,19,19,19.49,2,3,34,14.8,135,2109,15.6,4,1,43.10%,43.10%,2.8,39.10%,0.11,0.11,-0.31,1.60%,1.20%,-1.50%,0,2.8,2.8,2.6,-1.6,1.2,1.2,0.1,-1.6,1.2,1.2,0.2,-1.7,0.5,0.3,-0.3,0.00%,43.10%,43.10%,37.30%,31.60%,43.10%,43.10%,37.30%,5.30%,11.80%,11.80%,8.60%,0.00%,39.10%,39.10%,35.05%,15.20%,-6.10%,27.50%,12.17%,8.13,12.70%,2.40%,2.50%,0.8,-7.00%,264,9,13,12,,,,3.52,21.58,19.41,,,,0,69,66,,,,0,1136,973,,,,0,9,8,,,,0.00%,14.84%,18.91%,,,,0.00%,31.03%,39.08%,,,,0.00%,31.03%,39.08%,,,,-19.30%,5.70%,9.00%,,,,-21.80%,9.30%,17.30%,,,,-22.20%,8.90%,16.90%,,,,0.00%,32.14%,47.06%,,,,0.00%,31.59%,43.07%,,,,,31.60%,43.10%,,,,,5.30%,11.80%,,,,,22.90%,29.00%,,,,0.4,1.5,1.4,,,,0.4,1.5,1.4,,,,-0.5,0.7,0.6,,,,0,2.4,2.8,,,,0,2.4,2.8,,,,-1.7,0.5,0.3,-,-,-,-1.63,0.81,1.16,,,,-1.57,0.87,1.21,,,,28.31,203,71,15,4.52,0,0,31,115,110.2,90.59,97.27,0,0,0,5.40%,2.89,-6.2,2.05,1.62,1.23
Taywan Taylor,taywan-taylor-1,TaylTa00,Western Kentucky,CUSA (East),3,72,WR,2017,SR,TEN,22,3/2/1995,1.40%,0.00%,13.90%,7.1,91%,6.85,85%,4,20,20,20.5,3,4,50,17.4,253,4234,16.7,5.1,1,38.60%,38.60%,3.7,36.70%,0.68,0.68,-0.03,0.60%,3.00%,-4.20%,0.8,3.7,3.7,2.2,-0.7,2.2,2.2,0.7,-0.8,2.1,2.1,0.6,-0.9,1.1,1.1,0,5.20%,38.60%,38.60%,22.80%,4.30%,38.60%,38.60%,22.20%,-15.40%,6.60%,6.60%,-5.00%,8.60%,36.70%,36.70%,22.30%,18.70%,51.70%,69.50%,52.06%,11.64,10.10%,0.90%,-3.20%,1.6,-6.90%,265,10,12,14,14,,,5.1,13.73,23.91,26.9,,,24,45,86,98,,,270,767,1467,1730,,,0,7,17,17,,,5.90%,8.08%,15.58%,20.81%,,,8.60%,15.76%,28.15%,36.69%,,,8.60%,15.76%,28.15%,36.69%,,,-10.70%,-9.50%,-2.00%,5.50%,,,-13.10%,-6.00%,6.40%,15.00%,,,-10.70%,-3.50%,8.90%,17.40%,,,0.00%,14.29%,34.00%,40.48%,,,5.16%,16.28%,31.08%,38.58%,,,4.30%,15.00%,31.10%,38.60%,,,-15.40%,-11.20%,-0.10%,6.60%,,,7.20%,11.90%,21.90%,28.70%,,,0.4,0.9,1.5,1.9,,,0.4,0.9,1.5,1.9,,,-0.4,-0.2,0.4,0.8,,,0.8,1.5,2.7,3.7,,,0.8,1.5,2.7,3.7,,,-0.9,-0.4,0.1,1.1,-,-,-0.67,0.02,1.19,2.2,,,-0.74,-0.04,1.12,2.14,,,28.31,203,71,13,4.5,6.57,4.21,33.5,132,122.95,92.22,99.01,0,0,0,5.60%,3.03,1.8,3.09,3.44,3.33
Jaleel Scott,jaleel-scott-1,ScotJa02,New Mexico State,Sun Belt,4,132,WR,2018,SR,BAL,23,2/23/1995,1.40%,12.50%,2.00%,2,17%,3.66,58%,-,22,-,-,-,2,23,13.6,99,1362,13.8,4.3,1,27.70%,30.00%,1.8,24.40%,-0.32,-0.32,-1.37,-4.00%,-0.10%,-13.60%,0.67,1.8,1.8,1.3,-0.9,0.3,0.3,-0.3,-0.9,0.3,0.3,-0.3,-1.9,-0.8,-0.8,-1.4,17.60%,30.00%,30.00%,23.80%,16.20%,27.70%,27.70%,21.90%,-15.80%,-4.70%,-4.70%,-10.20%,9.60%,24.40%,24.40%,17.01%,10.30%,52.10%,52.10%,31.22%,6.13,-1.90%,-2.70%,-2.40%,-0.2,-5.90%,249,,,,11,12,,,,,7.39,19.83,,,,,23,76,,,,,283,1079,,,,,5,9,,,,,5.00%,11.89%,,,,,9.63%,24.40%,,,,,9.63%,24.40%,,,,,-21.60%,-5.50%,,,,,-11.40%,3.40%,,,,,-7.50%,7.20%,,,,,22.73%,31.03%,,,,,17.65%,30.03%,,,,,16.20%,27.70%,,,,,-15.80%,-4.70%,,,,,7.30%,18.10%,,,,,0.3,1.2,,,,,0.3,1.2,,,,,-0.4,0.4,,,,,0.7,1.8,,,,,0.7,1.8,,-,-,-,-1.9,-0.8,-,,,,-0.9,0.26,,,,,-0.87,0.29,,25.85,218,77,16,4.56,7.2,4.4,34.5,124,120.65,110.49,100.84,0,0,0,0.00%,0,0,0,3.95,2.1
Josh Reynolds,josh-reynolds-1,ReynJo00,Texas A&M,SEC (West),4,117,WR,2017,SR,LAR,22,2/16/1995,17.80%,14.50%,8.30%,4.5,58%,4.7,70%,1,19,21,21.54,3,3,38,16.3,164,2788,17,4.3,1,39.70%,39.70%,2.2,31.30%,0.16,0.16,-0.38,4.00%,1.90%,-2.30%,1.64,2.2,2.2,2,-0.2,0.4,0.4,0.2,-0.1,0.5,0.5,0.3,-0.3,-0.3,-0.4,-0.4,27.30%,39.70%,39.70%,30.80%,27.30%,39.70%,39.70%,30.20%,1.00%,7.70%,7.70%,0.40%,21.20%,31.30%,31.30%,26.61%,38.30%,14.90%,38.30%,22.95%,2.3,3.00%,3.00%,-0.10%,-0.1,-10.30%,209,,13,12,13,,,,16.48,14.31,18.22,,,,52,51,61,,,,842,907,1039,,,,13,5,12,,,,10.12%,10.60%,13.01%,,,,21.20%,27.29%,31.32%,,,,21.20%,27.29%,31.32%,,,,-4.10%,-2.80%,0.10%,,,,-1.40%,4.60%,8.70%,,,,-3.50%,2.60%,6.60%,,,,33.33%,20.00%,48.00%,,,,27.27%,25.62%,39.66%,,,,27.30%,23.60%,39.70%,,,,1.00%,-7.60%,7.70%,,,,15.70%,18.90%,22.20%,,,,0.9,1,1.1,,,,0.9,1,1.1,,,,0.1,0.2,0.3,,,,1.6,2,2.2,,,,1.6,2,2.2,,,-,-0.3,-0.5,-0.4,-,-,,-0.17,0.23,0.41,,,,-0.19,0.22,0.39,,,24.25,194,75,0,4.52,6.83,4.13,37,124,124.9,96.61,92.96,0,0,0,5.00%,2.89,-16,1.83,4.56,3.98
Jester Weah,jester-weah-1,WeahJe00,Pittsburgh,ACC (Coastal),UDFA,UDFA,WR,2018,SR,0,23,2/7/1995,4.80%,6.40%,1.50%,5.5,73%,3.66,58%,1,21,21,21.57,1,2,24,13.2,77,1568,20.4,3.2,1,31.50%,32.90%,2.4,28.50%,0.72,0.72,-0.19,5.70%,2.10%,-2.10%,2.75,2.8,2.1,2.4,1,1,0.4,0.7,1.1,1.1,0.4,0.8,0.2,0.2,-0.5,-0.2,33.00%,33.00%,32.80%,32.90%,33.00%,33.00%,30.00%,31.50%,1.00%,-2.40%,1.00%,-0.70%,30.20%,26.70%,30.20%,28.46%,-0.20%,-2.70%,-0.20%,-1.40%,0.35,2.10%,0.20%,-0.20%,0.6,-5.80%,269,,,,13,11,,,,,14.08,12.25,,,,,36,41,,,,,870,698,,,,,10,4,,,,,11.39%,11.39%,,,,,30.19%,26.72%,,,,,30.19%,26.72%,,,,,-1.00%,-3.20%,,,,,7.40%,3.90%,,,,,3.80%,0.40%,,,,,35.71%,33.33%,,,,,32.95%,32.76%,,,,,33.00%,30.00%,,,,,1.00%,-2.40%,,,,,20.80%,19.10%,,,,,1.1,1,,,,,1.1,1,,,,,0.2,0.1,,,,,2.8,2.1,,,,,2.8,2.1,,-,-,-,0.2,-0.5,-,,,,1.04,0.4,,,,,1.03,0.39,,27.09,211,74,15,4.43,7.24,4.41,38,129,129.1,110.88,109.57,-,-,-,-,-,-,-,-,-
Anthony Johnson,anthony-johnson-13,JohnAn05,Buffalo,MAC (East),UDFA,UDFA,WR,2019,SR,0,24,1/29/1995,1.40%,0.00%,1.10%,4.6,60%,3.18,49%,1,22,22,22.59,1,2,24,21.7,133,2367,17.8,5.5,1,42.10%,45.10%,3.1,35.40%,1.5,1.5,0.1,12.70%,10.90%,8.90%,3.39,3.4,2.8,3.1,1.8,1.8,1.2,1.5,1.6,1.6,1,1.3,0.7,0.7,-0.5,0.1,48.60%,48.60%,41.60%,45.10%,48.60%,48.60%,35.70%,42.10%,16.20%,16.20%,16.20%,5.40%,38.90%,32.00%,38.90%,35.45%,30.10%,0.20%,30.10%,15.14%,9.56,9.00%,3.60%,1.80%,0.9,-,-,,,,,12,12,,,,,24.63,18.68,,,,,76,57,,,,,1356,1011,,,,,14,11,,,,,19.00%,13.60%,,,,,38.85%,32.04%,,,,,38.85%,32.04%,,,,,8.90%,,,,,,16.10%,9.30%,,,,,14.30%,7.50%,,,,,58.33%,39.29%,,,,,48.59%,41.61%,,,,,48.60%,35.70%,,,,,16.20%,,,,,,28.90%,22.80%,,,,,1.8,1.4,,,,,1.8,1.4,,,,,0.7,0.3,,,,,3.4,2.8,,,,,3.4,2.8,-,-,-,-,0.7,-0.5,,,,,1.79,1.22,,,,,1.76,1.18,26.83,209,74,18,0,7.12,0,32.5,122,116.25,UNK,UNK,-,-,-,-,-,-,-,-,-
Jesus Wilson,jesus-wilson-1,WilsJe00,Florida State,ACC (Atlantic),UDFA,UDFA,WR,2017,SR,0,22,1/25/1995,6.80%,9.40%,1.00%,3.1,35%,2.29,34%,-,-,-,-,-,3,38,10.2,130,1539,11.8,3.4,6,12.00%,15.40%,1.7,15.00%,-0.17,-0.17,-0.91,-5.30%,-6.10%,-14.70%,1.1,1.7,1.7,1.4,-0.5,0.1,0.1,-0.2,-0.2,0.4,0.4,0.1,-0.8,-0.8,-0.9,-0.9,0.00%,16.20%,14.60%,15.20%,13.90%,16.20%,7.90%,12.60%,-12.40%,-24.10%,-12.40%,-17.20%,0.00%,11.40%,18.70%,15.56%,43.30%,18.90%,43.30%,28.82%,-4.58,-9.40%,-1.60%,-6.10%,-0.5,-9.80%,252,5,13,13,7,,,0,9.13,10.72,10.8,,,0,42,58,30,,,0,527,622,390,,,0,4,3,1,,,0.00%,8.14%,13.88%,7.13%,,,0.00%,12.41%,18.71%,11.36%,,,,12.41%,18.71%,,,,,-12.90%,-11.40%,-19.80%,,,,-8.40%,-2.10%,,,,,-9.30%,-3.00%,,,,0.00%,15.38%,13.64%,4.35%,,,0.00%,14.97%,16.17%,14.59%,,,,13.90%,16.20%,7.90%,,,,-12.40%,-15.10%,-24.10%,,,,10.30%,16.30%,9.20%,,,0,0.6,0.8,0.8,,,,0.6,0.8,0.8,,,,-0.2,-0.1,0,,,0,1.1,1.5,1.7,,,,1.1,1.5,1.7,,,-,-0.8,-1,-0.9,-,-,,-0.51,-0.12,0.11,,,,-0.45,-0.06,0.17,,,27.91,189,69,10,4.57,0,4.57,0,119,-,76.22,86.66,0,0,0,0.90%,1.53,6.8,3.2,1.92,2.04
Chad Hansen,chad-hansen-1,HansCh00,California,Pac-12 (North),4,141,WR,2017,JR,NYJ,22,1/18/1995,5.50%,9.30%,4.90%,2.8,30%,4.39,68%,-,21,-,-,-,2,17,17.7,111,1498,13.5,6.5,1,29.40%,35.20%,2.4,29.00%,0.13,0.13,-0.92,9.10%,7.60%,-13.60%,0.84,2.4,2.4,1.6,-0.7,0.9,0.9,0.1,-0.6,1,1,0.2,-1.7,-0.2,-0.2,-0.9,6.80%,35.20%,35.20%,21.00%,3.70%,29.40%,29.40%,16.50%,-27.50%,-2.60%,-2.60%,-15.10%,5.10%,29.00%,29.00%,29.01%,70.10%,61.60%,70.10%,65.84%,12.26,3.90%,0.00%,-4.50%,0.5,-8.30%,242,,,7,10,,,,,7.13,28.29,,,,,19,92,,,,,249,1249,,,,,1,11,,,,,3.47%,14.81%,,,,,5.10%,29.01%,,,,,,29.01%,,,,,-25.00%,-2.20%,,,,,,9.10%,,,,,,7.60%,,,,,2.27%,29.73%,,,,,6.84%,35.24%,,,,,3.70%,29.40%,,,,,-27.50%,-2.60%,,,,,4.30%,21.90%,,,,,0.5,1.5,,,,,0.5,1.5,,,,,-0.4,0.6,,,,,0.8,2.4,,,,,0.8,2.4,,,-,-,-1.7,-0.2,-,-,,,-0.65,0.91,,,,,-0.63,0.94,,,25.94,202,74,11,4.53,6.74,4.13,35,119,119,97.07,95.94,0,0,0,3.30%,1.61,-5.8,1.23,1.61,1.23
Corey Davis,corey-davis-3,DaviCo03,Western Michigan,MAC (West),1,5,WR,2017,SR,TEN,22,1/11/1995,2.70%,13.60%,38.00%,10.2,99%,10.68,99%,1,18,18,18.64,1,4,50,23.3,331,5278,15.9,6.6,1,50.00%,51.60%,4,42.50%,1.78,1.78,1.31,14.70%,10.80%,13.10%,2.36,4.1,4,3.5,0.7,2.4,2.3,1.8,0.7,2.4,2.3,1.8,0.6,2.2,1.4,1.3,47.50%,53.20%,50.00%,47.50%,43.60%,50.00%,50.00%,45.50%,23.80%,18.10%,23.80%,18.20%,37.20%,42.50%,42.50%,39.61%,-4.30%,13.70%,29.90%,15.07%,9.45,12.20%,3.60%,9.20%,1.8,-,-,11,12,13,14,,,17.92,25.81,23.55,25.79,,,67,78,89,97,,,941,1408,1429,1500,,,6,15,12,19,,,15.40%,21.02%,22.03%,25.66%,,,37.16%,40.52%,38.29%,42.46%,,,37.16%,40.52%,38.29%,42.46%,,,17.90%,15.20%,8.20%,11.30%,,,12.30%,15.70%,13.40%,17.60%,,,8.40%,11.80%,9.50%,13.70%,,,50.00%,57.69%,40.00%,57.58%,,,47.54%,53.20%,39.15%,50.02%,,,43.60%,49.10%,39.10%,50.00%,,,23.80%,22.80%,7.90%,18.10%,,,26.30%,30.80%,30.20%,34.10%,,,1.3,1.8,1.6,1.6,,,1.3,1.8,1.6,1.6,,,0.2,0.8,0.6,0.6,,,2.4,4.1,3.5,4,,,2.4,4.1,3.5,4,,,0.6,2.2,1,1.4,-,-,0.65,2.4,1.83,2.26,,,0.65,2.4,1.83,2.26,,,26.12,209,75,0,0,0,0,0,0,-,UNK,UNK,0,0,0,19.10%,9.37,-31.6,6.5,9.49,8.55
Francis Owusu,francis-owusu-1,OwusFr00,Stanford,Pac-12 (North),UDFA,UDFA,WR,2017,SR,0,22,12/27/1994,5.50%,9.30%,1.00%,1.7,13%,1.42,14%,1,-,-,-,-,3,22,4,32,426,13.3,1.5,6,6.10%,13.20%,0.9,5.70%,-0.73,-0.73,-1.45,-14.00%,-14.00%,-22.40%,0.67,0.9,0.9,0.8,-0.8,-0.6,-0.6,-0.7,-0.8,-0.6,-0.6,-0.7,-1.3,-1.3,-1.6,-1.4,4.30%,13.20%,13.20%,8.20%,2.30%,6.10%,6.10%,4.30%,-23.90%,-26.60%,-23.90%,-25.30%,4.60%,5.50%,5.90%,5.90%,4.10%,-28.80%,4.10%,-9.63%,-11.82,-19.20%,1.90%,-7.40%,-1.1,-,-,,7,9,6,,,,3.67,4.06,4.22,,,,11,13,8,,,,138,175,113,,,,0,1,1,,,,2.89%,4.11%,2.64%,,,,4.62%,5.90%,5.50%,,,,,5.90%,,,,,-20.70%,-24.20%,,,,,,-14.00%,,,,,,-14.00%,,,,,0.00%,3.33%,6.67%,,,,4.29%,7.18%,13.18%,,,,2.30%,4.60%,6.10%,,,,-23.90%,-26.60%,,,,,3.80%,5.00%,4.10%,,,,0.3,0.3,0.3,,,,0.3,0.3,,,,,-0.6,-0.6,,,,,0.7,0.9,0.8,,,,0.7,0.9,,,,-,-1.3,-1.6,-,-,-,,-0.82,-0.64,,,,,-0.8,-0.62,,,,UNK,0,0,0,0,0,0,0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-
Tajae Sharpe,tajae-sharpe-1,SharTa00,Massachusetts,MAC (East),5,140,WR,2016,SR,TEN,21,12/23/1994,1.40%,0.00%,10.70%,6.3,84%,4.43,68%,1,18,18,18.69,1,3,36,19,257,3280,12.8,7.1,1,37.80%,37.80%,2.7,42.70%,0.86,0.86,0.39,15.00%,14.90%,12.80%,2.02,2.7,2.7,2.4,0.4,1.1,1.1,0.9,0.6,1.2,1.2,1,0.3,0.7,0.2,0.4,40.30%,40.30%,35.20%,35.20%,40.30%,40.30%,35.20%,35.20%,20.60%,4.00%,20.60%,9.50%,36.20%,42.70%,42.70%,37.72%,-29.00%,16.50%,41.10%,9.53%,7.95,13.10%,0.90%,4.40%,0.4,-10.20%,222,12,12,12,,,,12.75,21.38,22.74,,,,61,85,111,,,,680,1281,1319,,,,4,7,5,,,,18.15%,17.45%,22.52%,,,,36.23%,34.24%,42.69%,,,,36.23%,34.24%,42.69%,,,,17.00%,9.00%,12.60%,,,,13.50%,11.50%,19.90%,,,,13.40%,11.50%,19.90%,,,,44.44%,25.93%,27.78%,,,,40.34%,30.08%,35.23%,,,,40.30%,30.10%,35.20%,,,,20.60%,3.80%,4.00%,,,,27.20%,25.80%,32.60%,,,,1,1.5,1.5,,,,1,1.5,1.5,,,,0.1,0.6,0.7,,,,2,2.6,2.7,,,,2,2.6,2.7,,,,0.3,0.7,0.2,-,-,-,0.44,1.05,1.09,,,,0.54,1.14,1.19,,,,24.91,194,74,11,4.55,0,0,33.5,114,113.95,91.59,90.53,0,0,0,16.50%,8.36,-28.1,6.58,6.7,5.52
